#name	type	effect 1	effect 2	effect 3	effect 4	special
On higher ground	COMBAT_MODIFIER	HIT 1 [melee]				
Flanking	COMBAT_MODIFIER	HIT 2 [melee]				
Frightened	COMBAT_MODIFIER	HIT -2				
Dazzled	COMBAT_MODIFIER	HIT -1				
Frightened	COMBAT_MODIFIER	HIT -2				
Entangled	COMBAT_MODIFIER	HIT -2	DEX -4			
Invisible	COMBAT_MODIFIER	HIT 2	CONCEAL 50	SKILL(Hide) 20	SKILL(Hide) 20 [when not moving]	
Concealed	COMBAT_MODIFIER	CONCEAL 20				
Behind cover	COMBAT_MODIFIER	AC 4	REFL 2 [burst]			
Behind improved cover	COMBAT_MODIFIER	AC 8	REFL 4 [burst]	SKILL(Hide) 10		improved evasion
Kneeling or sitting	COMBAT_MODIFIER	AC -2 [melee]	AC 2 [ranged]			
Prone	COMBAT_MODIFIER	AC -4 [melee]	AC 4 [ranged]	HIT -4 [melee]		
Charging	COMBAT_MODIFIER	HIT 2	AC -2	DMG_MULT 2 [lance]		
Squeezing through a space	COMBAT_MODIFIER	HIT -4	AC -4			
Blinded	COMBAT_MODIFIER	AC -2	MAX_DEX 0	SPEED_MULT .2		
Cowering	COMBAT_MODIFIER	AC -2	MAX_DEX 0			
Stunned	COMBAT_MODIFIER	AC -2	MAX_DEX 0			
Flat-footed	COMBAT_MODIFIER	MAX_DEX 0				
Feinted	COMBAT_MODIFIER	MAX_DEX 0				
Grappling (but attacker is not)	COMBAT_MODIFIER	MAX_DEX 0				
Pinned (but attacker is not)	COMBAT_MODIFIER	AC -4 [melee]	MAX_DEX -5			
Helpless	COMBAT_MODIFIER	AC -4 [melee]	MAX_DEX -5			
Aided (AC)	COMBAT_MODIFIER	AC 2				
Aided (HIT)	COMBAT_MODIFIER	HIT 2				
Fighting defensively	COMBAT_MODIFIER	AC 2 dodge	HIT -4			
Total defense	COMBAT_MODIFIER	AC 4 dodge				
Bless	SPELL	HIT 1	SAVES 1 [fear]			
Aid	SPELL	HIT 1	SAVES 1 [fear]	HP_TEMP 1d8+1/lvl		
Bear's Endurance	SPELL	CON 4				
Bull's Strenght	SPELL	STR 4				
Cat's Grace	SPELL	DEX 4				
Eagle's Splendor	SPELL	CHA 4				
Fox's Cunning	SPELL	INT 4				
Owl's Wisdom	SPELL	WIS 4				
Barkskin +2	SPELL	AC 2 natural				
Barkskin +3	SPELL	AC 3 natural				
Barkskin +4	SPELL	AC 4 natural				
Flare	SPELL	HIT -1				
Haste	SPELL	SPEED 6	HIT 1	AC 1	REFL 1	EXTRA_ATK 1
Slow	SPELL	HIT -2	AC -2			
